view,count_run-001,count_run-002,cum_run-001,cum_run-002,cum_diff
1981,18,0,36829,21601,15228
1982,17,0,36846,21601,15245
1983,20,0,36866,21601,15265
1984,22,0,36888,21601,15287
1985,17,0,36905,21601,15304
1986,13,0,36918,21601,15317
1987,24,0,36942,21601,15341
1988,13,0,36955,21601,15354
1989,24,0,36979,21601,15378
1990,20,0,36999,21601,15398
1991,16,0,37015,21601,15414
1992,17,0,37032,21601,15431
1993,12,0,37044,21601,15443
1994,18,0,37062,21601,15461
1995,20,0,37082,21601,15481
1996,19,0,37101,21601,15500
1997,18,0,37119,21601,15518
1998,17,0,37136,21601,15535
1999,19,0,37155,21601,15554
2000,21,0,37176,21601,15575
2001,20,0,37196,21601,15595
2002,17,0,37213,21601,15612
2003,12,0,37225,21601,15624
2004,20,0,37245,21601,15644
2005,16,0,37261,21601,15660
2006,19,0,37280,21601,15679
2007,26,0,37306,21601,15705
2008,16,0,37322,21601,15721
2009,14,0,37336,21601,15735
2010,26,0,37362,21601,15761
2011,9,0,37371,21601,15770
2012,20,0,37391,21601,15790
2013,19,0,37410,21601,15809
2014,18,0,37428,21601,15827
2015,16,0,37444,21601,15843
2016,17,0,37461,21601,15860
2017,22,0,37483,21601,15882
2018,18,0,37501,21601,15900
2019,21,0,37522,21601,15921
2020,24,0,37546,21601,15945
2021,17,0,37563,21601,15962
2022,16,0,37579,21601,15978
2023,15,0,37594,21601,15993
2024,17,0,37611,21601,16010
2025,20,0,37631,21601,16030
2026,20,0,37651,21601,16050
2027,16,0,37667,21601,16066
2028,18,0,37685,21601,16084
2029,19,0,37704,21601,16103
2030,18,0,37722,21601,16121
2031,18,0,37740,21601,16139
2032,17,0,37757,21601,16156
2033,16,0,37773,21601,16172
2034,23,0,37796,21601,16195
2035,19,0,37815,21601,16214
2036,18,0,37833,21601,16232
2037,17,0,37850,21601,16249
2038,17,0,37867,21601,16266
2039,16,0,37883,21601,16282
2040,18,0,37901,21601,16300
2041,20,0,37921,21601,16320
2042,17,0,37938,21601,16337
2043,17,0,37955,21601,16354
2044,19,0,37974,21601,16373
2045,20,0,37994,21601,16393
2046,16,0,38010,21601,16409
2047,19,0,38029,21601,16428
2048,20,0,38049,21601,16448
2049,17,0,38066,21601,16465
2050,17,0,38083,21601,16482
2051,15,0,38098,21601,16497
2052,23,0,38121,21601,16520
2053,15,0,38136,21601,16535
2054,17,0,38153,21601,16552
2055,18,0,38171,21601,16570
2056,19,0,38190,21601,16589
2057,15,0,38205,21601,16604
2058,22,0,38227,21601,16626
2059,18,0,38245,21601,16644
2060,20,0,38265,21601,16664
2061,13,0,38278,21601,16677
2062,18,0,38296,21601,16695
2063,20,0,38316,21601,16715
2064,17,0,38333,21601,16732
2065,19,0,38352,21601,16751
2066,17,0,38369,21601,16768
2067,19,0,38388,21601,16787
2068,20,0,38408,21601,16807
2069,13,0,38421,21601,16820
2070,19,0,38440,21601,16839
2071,18,0,38458,21601,16857
2072,21,0,38479,21601,16878
2073,20,0,38499,21601,16898
2074,18,0,38517,21601,16916
2075,26,0,38543,21601,16942
2076,21,0,38564,21601,16963
2077,19,0,38583,21601,16982
2078,16,0,38599,21601,16998
2079,20,0,38619,21601,17018
2080,20,0,38639,21601,17038
2081,16,0,38655,21601,17054
2082,14,0,38669,21601,17068
2083,19,0,38688,21601,17087
2084,23,0,38711,21601,17110
2085,16,0,38727,21601,17126
2086,17,0,38744,21601,17143
2087,17,0,38761,21601,17160
2088,19,0,38780,21601,17179
2089,21,0,38801,21601,17200
2090,17,0,38818,21601,17217
2091,20,0,38838,21601,17237
2092,11,0,38849,21601,17248
2093,20,0,38869,21601,17268
2094,18,0,38887,21601,17286
2095,22,0,38909,21601,17308
2096,18,0,38927,21601,17326
2097,21,0,38948,21601,17347
2098,14,0,38962,21601,17361
2099,18,0,38980,21601,17379
2100,16,0,38996,21601,17395
2101,17,0,39013,21601,17412
2102,19,0,39032,21601,17431
2103,20,0,39052,21601,17451
2104,16,0,39068,21601,17467
2105,14,0,39082,21601,17481
2106,19,0,39101,21601,17500
2107,20,0,39121,21601,17520
2108,18,0,39139,21601,17538
2109,17,0,39156,21601,17555
2110,17,0,39173,21601,17572
2111,19,0,39192,21601,17591
2112,19,0,39211,21601,17610
2113,16,0,39227,21601,17626
2114,21,0,39248,21601,17647
2115,16,0,39264,21601,17663
2116,23,0,39287,21601,17686
2117,18,0,39305,21601,17704
2118,17,0,39322,21601,17721
2119,15,0,39337,21601,17736
2120,23,0,39360,21601,17759
2121,14,0,39374,21601,17773
2122,17,0,39391,21601,17790
2123,21,0,39412,21601,17811
2124,16,0,39428,21601,17827
2125,18,0,39446,21601,17845
2126,19,0,39465,21601,17864
2127,19,0,39484,21601,17883
2128,17,0,39501,21601,17900
2129,18,0,39519,21601,17918
2130,17,0,39536,21601,17935
2131,20,0,39556,21601,17955
2132,20,0,39576,21601,17975
2133,17,0,39593,21601,17992
2134,17,0,39610,21601,18009
2135,15,0,39625,21601,18024
2136,18,0,39643,21601,18042
2137,19,0,39662,21601,18061
2138,16,0,39678,21601,18077
2139,19,0,39697,21601,18096
2140,16,0,39713,21601,18112
2141,20,0,39733,21601,18132
2142,25,0,39758,21601,18157
2143,14,0,39772,21601,18171
2144,15,0,39787,21601,18186
2145,17,0,39804,21601,18203
2146,19,0,39823,21601,18222
2147,19,0,39842,21601,18241
2148,17,0,39859,21601,18258
2149,18,0,39877,21601,18276
2150,22,0,39899,21601,18298
2151,16,0,39915,21601,18314
2152,17,0,39932,21601,18331
2153,20,0,39952,21601,18351
2154,16,0,39968,21601,18367
2155,18,0,39986,21601,18385
2156,22,0,40008,21601,18407
2157,16,0,40024,21601,18423
2158,17,0,40041,21601,18440
2159,12,0,40053,21601,18452
2160,21,0,40074,21601,18473
2161,20,0,40094,21601,18493
2162,20,0,40114,21601,18513
2163,12,0,40126,21601,18525
2164,19,0,40145,21601,18544
2165,21,0,40166,21601,18565
2166,13,0,40179,21601,18578
2167,19,0,40198,21601,18597
2168,20,0,40218,21601,18617
2169,20,0,40238,21601,18637
2170,20,0,40258,21601,18657
2171,15,0,40273,21601,18672
2172,16,0,40289,21601,18688
2173,18,0,40307,21601,18706
2174,20,0,40327,21601,18726
2175,22,0,40349,21601,18748
2176,13,0,40362,21601,18761
2177,22,0,40384,21601,18783
2178,14,0,40398,21601,18797
2179,18,0,40416,21601,18815
2180,20,0,40436,21601,18835
2181,16,0,40452,21601,18851
2182,17,0,40469,21601,18868
2183,19,0,40488,21601,18887
2184,21,0,40509,21601,18908
2185,19,0,40528,21601,18927
2186,15,0,40543,21601,18942
2187,20,0,40563,21601,18962
2188,20,0,40583,21601,18982
2189,18,0,40601,21601,19000
2190,19,0,40620,21601,19019
2191,20,0,40640,21601,19039
2192,21,0,40661,21601,19060
2193,18,0,40679,21601,19078
2194,20,0,40699,21601,19098
2195,23,0,40722,21601,19121
2196,18,0,40740,21601,19139
2197,16,0,40756,21601,19155
2198,15,0,40771,21601,19170
2199,17,0,40788,21601,19187
2200,21,0,40809,21601,19208
2201,15,0,40824,21601,19223
2202,20,0,40844,21601,19243
2203,24,0,40868,21601,19267
2204,15,0,40883,21601,19282
2205,10,0,40893,21601,19292
2206,22,0,40915,21601,19314
2207,17,0,40932,21601,19331
2208,19,0,40951,21601,19350
2209,20,0,40971,21601,19370
2210,20,0,40991,21601,19390
2211,18,0,41009,21601,19408
2212,14,0,41023,21601,19422
2213,19,0,41042,21601,19441
2214,17,0,41059,21601,19458
2215,23,0,41082,21601,19481
2216,13,0,41095,21601,19494
2217,20,0,41115,21601,19514
2218,14,0,41129,21601,19528
2219,20,0,41149,21601,19548
2220,19,0,41168,21601,19567
2221,19,0,41187,21601,19586
2222,18,0,41205,21601,19604
2223,18,0,41223,21601,19622
2224,17,0,41240,21601,19639
2225,15,0,41255,21601,19654
2226,19,0,41274,21601,19673
2227,23,0,41297,21601,19696
2228,18,0,41315,21601,19714
2229,19,0,41334,21601,19733
2230,15,0,41349,21601,19748
2231,17,0,41366,21601,19765
2232,15,0,41381,21601,19780
2233,18,0,41399,21601,19798
2234,20,0,41419,21601,19818
2235,16,0,41435,21601,19834
2236,20,0,41455,21601,19854
2237,18,0,41473,21601,19872
2238,17,0,41490,21601,19889
2239,16,0,41506,21601,19905
2240,20,0,41526,21601,19925
2241,16,0,41542,21601,19941
2242,22,0,41564,21601,19963
2243,15,0,41579,21601,19978
2244,19,0,41598,21601,19997
2245,20,0,41618,21601,20017
2246,24,0,41642,21601,20041
2247,19,0,41661,21601,20060
2248,11,0,41672,21601,20071
2249,20,0,41692,21601,20091
2250,20,0,41712,21601,20111
2251,22,0,41734,21601,20133
2252,20,0,41754,21601,20153
2253,18,0,41772,21601,20171
2254,21,0,41793,21601,20192
2255,17,0,41810,21601,20209
2256,17,0,41827,21601,20226
2257,14,0,41841,21601,20240
2258,21,0,41862,21601,20261
2259,15,0,41877,21601,20276
2260,17,0,41894,21601,20293
2261,17,0,41911,21601,20310
2262,27,0,41938,21601,20337
2263,12,0,41950,21601,20349
2264,17,0,41967,21601,20366
2265,16,0,41983,21601,20382
2266,23,0,42006,21601,20405
2267,22,0,42028,21601,20427
2268,16,0,42044,21601,20443
2269,18,0,42062,21601,20461
2270,19,0,42081,21601,20480
2271,15,0,42096,21601,20495
2272,13,0,42109,21601,20508
2273,20,0,42129,21601,20528
2274,19,0,42148,21601,20547
2275,21,0,42169,21601,20568
2276,18,0,42187,21601,20586
2277,15,0,42202,21601,20601
2278,22,0,42224,21601,20623
2279,14,0,42238,21601,20637
2280,18,0,42256,21601,20655
2281,18,0,42274,21601,20673
2282,16,0,42290,21601,20689
2283,21,0,42311,21601,20710
2284,17,0,42328,21601,20727
2285,17,0,42345,21601,20744
2286,18,0,42363,21601,20762
2287,21,0,42384,21601,20783
2288,23,0,42407,21601,20806
2289,15,0,42422,21601,20821
2290,15,0,42437,21601,20836
2291,17,0,42454,21601,20853
2292,18,0,42472,21601,20871
2293,19,0,42491,21601,20890
2294,17,0,42508,21601,20907
2295,18,0,42526,21601,20925
2296,13,0,42539,21601,20938
2297,25,0,42564,21601,20963
2298,15,0,42579,21601,20978
2299,19,0,42598,21601,20997
2300,14,0,42612,21601,21011
2301,19,0,42631,21601,21030
2302,17,0,42648,21601,21047
2303,24,0,42672,21601,21071
2304,20,0,42692,21601,21091
2305,18,0,42710,21601,21109
2306,16,0,42726,21601,21125
2307,15,0,42741,21601,21140
2308,19,0,42760,21601,21159
2309,19,0,42779,21601,21178
2310,15,0,42794,21601,21193
2311,20,0,42814,21601,21213
2312,20,0,42834,21601,21233
2313,14,0,42848,21601,21247
2314,16,0,42864,21601,21263
2315,22,0,42886,21601,21285
2316,20,0,42906,21601,21305
2317,20,0,42926,21601,21325
2318,14,0,42940,21601,21339
2319,20,0,42960,21601,21359
2320,16,0,42976,21601,21375
2321,20,0,42996,21601,21395
2322,22,0,43018,21601,21417
2323,14,0,43032,21601,21431
2324,18,0,43050,21601,21449
2325,13,0,43063,21601,21462
2326,18,0,43081,21601,21480
2327,21,0,43102,21601,21501
2328,17,0,43119,21601,21518
2329,18,0,43137,21601,21536
2330,12,0,43149,21601,21548
2331,22,0,43171,21601,21570
2332,23,0,43194,21601,21593
2333,20,0,43214,21601,21613
2334,17,0,43231,21601,21630
2335,14,0,43245,21601,21644
2336,18,0,43263,21601,21662
2337,22,0,43285,21601,21684
2338,18,0,43303,21601,21702
2339,20,0,43323,21601,21722
2340,19,0,43342,21601,21741
2341,19,0,43361,21601,21760
2342,16,0,43377,21601,21776
2343,11,0,43388,21601,21787
2344,23,0,43411,21601,21810
2345,18,0,43429,21601,21828
2346,19,0,43448,21601,21847
2347,15,0,43463,21601,21862
2348,14,0,43477,21601,21876
2349,17,0,43494,21601,21893
2350,19,0,43513,21601,21912
2351,24,0,43537,21601,21936
2352,19,0,43556,21601,21955
2353,15,0,43571,21601,21970
2354,16,0,43587,21601,21986
2355,19,0,43606,21601,22005
2356,21,0,43627,21601,22026
2357,16,0,43643,21601,22042
2358,18,0,43661,21601,22060
2359,19,0,43680,21601,22079
2360,22,0,43702,21601,22101
2361,15,0,43717,21601,22116
2362,14,0,43731,21601,22130
2363,17,0,43748,21601,22147
2364,21,0,43769,21601,22168
2365,19,0,43788,21601,22187
2366,19,0,43807,21601,22206
2367,18,0,43825,21601,22224
2368,28,0,43853,21601,22252
2369,23,0,43876,21601,22275
2370,19,0,43895,21601,22294
2371,18,0,43913,21601,22312
2372,18,0,43931,21601,22330
2373,18,0,43949,21601,22348
2374,16,0,43965,21601,22364
2375,19,0,43984,21601,22383
2376,19,0,44003,21601,22402
2377,13,0,44016,21601,22415
2378,13,0,44029,21601,22428
2379,19,0,44048,21601,22447
2380,17,0,44065,21601,22464
2381,19,0,44084,21601,22483
2382,22,0,44106,21601,22505
2383,19,0,44125,21601,22524
2384,19,0,44144,21601,22543
2385,21,0,44165,21601,22564
2386,15,0,44180,21601,22579
2387,15,0,44195,21601,22594
2388,20,0,44215,21601,22614
